Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
rwsuiHUD_Tab_Desc,,,,,HUD Settings \n\nChanging these settings only has an effect in Singleplayer or a self hosted game. If in game you will need to exit to main menu and reload into game to see changes.,,"HUD-Einstellungen \n\nÄnderungen dieser Einstellungen wirken sich nur im Einzelspielermodus oder in selbst gehosteten Spielen aus. Im Spiel müssen Sie zum Hauptmenü zurückkehren und das Spiel neu laden, um die Änderungen zu sehen.","Ajustes del HUD: Cambiar estos ajustes solo afecta al modo de un jugador o a partidas alojadas por el usuario. Si estás jugando, tendrás que salir al menú principal y volver a cargar el juego para ver los cambios.","Paramètres d'interface : Modifier ces paramètres n'a d'effet qu'en mode solo ou dans une partie hébergée sur votre serveur. Si vous êtes déjà en jeu, vous devrez quitter le jeu et le relancer pour que les modifications soient visibles.","Impostazioni HUD \n\nLa modifica di queste impostazioni ha effetto solo in modalità Giocatore singolo o in una partita self-hosted. Se sei in partita, dovrai uscire dal menu principale e ricaricare la partita per vedere le modifiche.",HUD設定 \n\nこれらの設定の変更は、シングルプレイヤーまたはセルフホストゲームでのみ有効です。ゲーム中の場合は、変更内容を確認するためにメインメニューに戻り、ゲームをリロードする必要があります。,HUD 설정\n\n이 설정을 변경해도 싱글플레이어 또는 직접 호스팅한 게임에서만 효과가 있습니다. 게임 도중에 변경 사항을 적용하려면 메인 메뉴로 나갔다가 다시 게임을 실행해야 합니다.,"Ustawienia HUD \n\nZmiana tych ustawień ma wpływ tylko na tryb dla jednego gracza lub grę hostowaną samodzielnie. W trakcie gry należy wyjść do menu głównego i ponownie wczytać grę, aby zobaczyć zmiany.","Configurações do HUD \n\nAlterar essas configurações só tem efeito no modo Singleplayer ou em jogos hospedados pelo próprio jogador. Se estiver jogando, você precisará sair para o menu principal e recarregar o jogo para ver as alterações.","Настройки интерфейса \n\nИзменение этих настроек влияет только на одиночную игру или игру, созданную вами самостоятельно. В игре вам потребуется выйти в главное меню и перезагрузить игру, чтобы увидеть изменения.",HUD Ayarları \n\nBu ayarların değiştirilmesi yalnızca tek oyunculu veya kendi sunucunuzda barındırdığınız oyunlarda geçerlidir. Oyundayken değişiklikleri görmek için ana menüye çıkıp oyunu yeniden yüklemeniz gerekecektir.,HUD 设置\n\n更改这些设置仅在单人游戏或自建游戏中生效。如果在游戏中，您需要退出到主菜单并重新加载游戏才能看到更改。,HUD 設定\n\n變更這些設定僅在單人遊戲或自建遊戲中生效。如果在遊戲中，您需要退出到主選單並重新載入遊戲才能看到變更。
rwsuiStatBar_Category,,,,,StatBar Settings,,StatBar-Einstellungen,Configuración de StatBar,Paramètres de la barre d'état,Impostazioni StatBar,StatBar設定,StatBar 설정,Ustawienia paska statystyk,Configurações da barra de estatísticas,Настройки панели статистики,İstatistik Çubuğu Ayarları,状态栏设置,狀態列設定
rwsuiStatBar_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiStatBar_Option,,,,,StatBars Type,,StatBars-Typ,Tipo de barras de estadísticas,Type de barres de statistiques,Tipo di StatBars,StatBarsタイプ,StatBars 유형,Typ pasków statystyk,Tipo de barras de estatísticas,Тип StatBars,İstatistik Çubukları Türü,统计条类型,統計條類型
rwsuiStatBar_Option_Desc,,,,,"Current Values: \n Horizontal, Vertical, Round, MiniHUD",,"Aktuelle Werte: \n Horizontal, Vertikal, Rund, MiniHUD","Valores actuales: \n Horizontal, Vertical, Redondo, MiniHUD","Valeurs actuelles : \n Horizontal, Vertical, Rond, Mini HUD","Valori correnti: \n Orizzontale, Verticale, Rotondo, MiniHUD",現在の値: \n 水平、垂直、円形、MiniHUD,"현재 값: \n 가로, 세로, 원형, 미니HUD","Bieżące wartości: \n Poziomo, Pionowo, Okrągło, MiniHUD","Valores atuais: Horizontal, Vertical, Circular, MiniHUD","Текущие значения: \n Горизонтальный, Вертикальный, Круглый, Мини-HUD","Mevcut Değerler: \n Yatay, Dikey, Yuvarlak, MiniHUD",当前值：\n 水平、垂直、圆形、迷你HUD,目前值：\n 水平、垂直、圓形、迷你HUD
rwsuiStatBarLocation_Option,,,,,Statbars Location,,Statbars-Position,Ubicación de las barras de estadísticas,Emplacement des barres de statistiques,Posizione delle barre statistiche,統計バーの場所,통계 막대 위치,Lokalizacja pasków statystyk,Localização das barras de estatísticas,Расположение панелей статистики,İstatistik Çubukları Konumu,状态栏位置,狀態列位置
rwsuiStatBarLocation_Option_Desc,,,,,"Current Values: \n Bottom_Left, Toolbelt \n\n\nNOTE: MiniHUD is only available on the toolbelt.",,"Aktuelle Werte: \n Unten links, Werkzeugleiste \n\n\nHINWEIS: MiniHUD ist nur in der Werkzeugleiste verfügbar.","Valores actuales: \n Abajo a la izquierda, Cinturón de herramientas \n\n\nNOTA: MiniHUD solo está disponible en el cinturón de herramientas.","Valeurs actuelles : \n Bas_Gauche, Barre d'outils \n\n\nREMARQUE : MiniHUD est uniquement disponible sur la barre d'outils.","Valori attuali: \n In basso a sinistra, Cintura portautensili \n\n\nNOTA: MiniHUD è disponibile solo sulla cintura portautensili.",現在の値: \n Bottom_Left、Toolbelt \n\n\n注: MiniHUD はツールベルトでのみ使用できます。,"현재 값: \n 왼쪽 하단, 툴벨트 \n\n\n참고: MiniHUD는 툴벨트에서만 사용할 수 있습니다.","Bieżące wartości: \n Bottom_Left, Pasek narzędziowy \n\n\nUWAGA: MiniHUD jest dostępny tylko na pasku narzędziowym.","Valores atuais: \n Canto inferior esquerdo, Cinturão de ferramentas \n\n\nNOTA: O MiniHUD está disponível apenas no cinto de ferramentas.","Текущие значения: \n Нижний левый угол, Пояс инструментов \n\n\nПРИМЕЧАНИЕ: Мини-интерфейс доступен только на поясе инструментов.","Mevcut Değerler: \n Sol Alt, Alet Kemeri \n\n\nNOT: MiniHUD yalnızca alet kemerinde kullanılabilir.",当前值：\n左下角，工具带\n\n\n注意：迷你HUD仅在工具带上可用。,目前值：\n左下角，工具帶\n\n\n注意：迷你HUD僅在工具帶上可用。
rwsuiBuffPanel_Category,,,,,Buff Panel Settings,,Buff-Panel-Einstellungen,Configuración del panel de mejoras,Paramètres du panneau Buff,Impostazioni del pannello Buff,バフパネル設定,버프 패널 설정,Ustawienia panelu Buff,Configurações do painel Buff,Настройки панели буфера,Buff Panel Ayarları,缓冲面板设置,緩衝面板設定
rwsuiBuffPanel_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiBuffPanel_Option,,,,,Buff Panel Type,,Buff Panel Typ,Tipo de panel de pulido,Type de panneau Buff,Tipo di pannello Buff,バフパネルタイプ,버프 패널 타입,Typ panelu Buff,Tipo de painel bege,Тип панели «Бафф»,Buff Panel Tipi,浅黄色面板类型,淺黃色面板類型
rwsuiBuffPanel_Option_Desc,,,,,"Current Values: \n Vanilla, Simple_Buffs, Detailed_Buffs",,"Aktuelle Werte: \n Vanilla, Simple_Buffs, Detailed_Buffs","Valores actuales: \n Vanilla, Mejoras simples, Mejoras detalladas","Valeurs actuelles : \n Vanilla, Simple_Buffs, Detailed_Buffs","Valori attuali: \n Vanilla, Simple_Buffs, Detailed_Buffs",現在の値: \n Vanilla、Simple_Buffs、Detailed_Buffs,"현재 값: 바닐라, 심플 버프, 디테일 버프","Bieżące wartości: \n Vanilla, Simple_Buffs, Detailed_Buffs","Valores atuais: \n Vanilla, Buffs_Simples, Buffs_Detalhados","Текущие значения: \n Vanilla, Simple_Buffs, Detailed_Buffs","Mevcut Değerler: \n Vanilla, Simple_Buffs, Detailed_Buffs",当前值：\n Vanilla、Simple_Buffs、Detailed_Buffs,目前值：\n Vanilla、Simple_Buffs、Detailed_Buffs
rwsuiLabels_Tab,,,,,Labels,,Etiketten,Etiquetas,Étiquettes,Etichette,ラベル,라벨,Etykiety,Etiquetas,Метки,Etiketler,标签,標籤
rwsuiLabels_Tab_Desc,,,,,Label Settings \n\nChanging these settings only has an effect in Singleplayer or a self hosted game. If in game you will need to exit to main menu and reload into game to see changes.,,"Label-Einstellungen \n\nÄnderungen dieser Einstellungen wirken sich nur im Einzelspielermodus oder in selbst gehosteten Spielen aus. Im Spiel müssen Sie zum Hauptmenü zurückkehren und das Spiel neu laden, um die Änderungen zu sehen.","Ajustes de etiqueta: Cambiar estos ajustes solo afecta al modo de un jugador o a partidas alojadas por el usuario. Si estás jugando, tendrás que salir al menú principal y volver a cargar el juego para ver los cambios.","Paramètres des étiquettes\n\nLa modification de ces paramètres n'a d'effet qu'en mode solo ou dans une partie hébergée sur votre serveur. Si vous êtes en jeu, vous devrez quitter le jeu et le relancer pour que les modifications soient prises en compte.","Impostazioni etichetta \n\nLa modifica di queste impostazioni ha effetto solo in modalità Giocatore singolo o in una partita self-hosted. Se sei in gioco, dovrai uscire dal menu principale e ricaricare la partita per vedere le modifiche.",ラベル設定 \n\nこれらの設定の変更は、シングルプレイヤーまたはセルフホストゲームでのみ有効です。ゲーム中に変更内容を確認するには、メインメニューに戻り、ゲームをリロードする必要があります。,레이블 설정\n\n이 설정을 변경해도 싱글플레이어 또는 직접 호스팅한 게임에서만 효과가 있습니다. 게임 도중에 변경 사항을 적용하려면 메인 메뉴로 나갔다가 다시 게임을 실행해야 합니다.,"Ustawienia etykiet \n\nZmiana tych ustawień ma wpływ tylko na tryb jednego gracza lub grę hostowaną samodzielnie. W trakcie gry należy wyjść do menu głównego i ponownie wczytać grę, aby zobaczyć zmiany.","Configurações de rótulo \n\nAlterar essas configurações só tem efeito no modo Singleplayer ou em jogos hospedados pelo próprio jogador. Se estiver jogando, você precisará sair para o menu principal e recarregar o jogo para ver as alterações.","Настройки меток \n\nИзменение этих настроек влияет только на одиночную игру или игру, созданную вами самостоятельно. В игре вам потребуется выйти в главное меню и перезагрузить игру, чтобы увидеть изменения.",Etiket Ayarları \n\nBu ayarların değiştirilmesi yalnızca tek oyunculu veya kendi sunucunuzda barındırdığınız oyunlarda geçerlidir. Oyundayken değişiklikleri görmek için ana menüye çıkıp oyunu yeniden yüklemeniz gerekecektir.,标签设置\n\n更改这些设置仅在单人游戏或自建游戏中生效。如果在游戏中，您需要退出到主菜单并重新加载游戏才能看到更改。,標籤設定\n\n更改這些設定僅在單人遊戲或自建遊戲中生效。如果在遊戲中，您需要退出到主選單並重新載入遊戲才能看到變更。
rwsuiStatBarsLabel_Category,,,,,StatBar Label Settings,,StatBar-Beschriftungseinstellungen,Configuración de etiquetas de StatBar,Paramètres d'étiquette de la barre de statistiques,Impostazioni etichetta StatBar,StatBarラベル設定,StatBar 레이블 설정,Ustawienia etykiety StatBar,Configurações de rótulo da barra de estatísticas,Настройки меток строки статистики,İstatistik Çubuğu Etiket Ayarları,统计栏标签设置,統計欄標籤設定
rwsuiStatBarsLabel_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiStatBarText_Toggle,,,,,StatBar Text,,StatBar-Text,Texto de la barra de estadísticas,Texte de la barre de statistiques,Testo della barra di stato,統計バーテキスト,StatBar 텍스트,Tekst paska statystyk,Texto da barra de estatísticas,Текст строки статистики,İstatistik Çubuğu Metni,状态栏文本,狀態列文本
rwsuiStatBarText_Toggle_Desc,,,,,Toggles the text being displayed on or off for Simple UI's stat bars.,,Schaltet die Anzeige des Textes in den Statusleisten von Simple UI ein oder aus.,Activa o desactiva el texto que se muestra en las barras de estadísticas de Simple UI.,Permet d'afficher ou de masquer le texte des barres de statistiques de Simple UI.,Attiva o disattiva la visualizzazione del testo nelle barre statistiche di Simple UI.,シンプル UI のステータス バーに表示されるテキストのオン/オフを切り替えます。,Simple UI의 통계 막대에 표시되는 텍스트를 켜거나 끕니다.,Włącza lub wyłącza wyświetlanie tekstu na paskach statystyk interfejsu Simple UI.,Alterna a exibição do texto nas barras de estatísticas da interface Simple UI.,Позволяет включать или выключать отображение текста в статистических панелях Simple UI.,Simple UI'nin istatistik çubuklarında görüntülenen metni açar veya kapatır.,切换 Simple UI 状态栏中文本的显示状态。,切換 Simple UI 狀態列中文字的顯示狀態。
rwsuiStatBarIcons_Toggle,,,,,StatBar Icons,,StatBar-Symbole,Iconos de la barra de estadísticas,Icônes de la barre de statistiques,Icone della barra di stato,StatBarアイコン,StatBar 아이콘,Ikony paska statystyk,Ícones da barra de estatísticas,Значки StatBar,İstatistik Çubuğu Simgeleri,状态栏图标,狀態列圖示
rwsuiStatBarIcons_Toggle_Desc,,,,,Toggles the icons being displayed on or off for Simple UI's stat bars.,,Schaltet die Anzeige der Symbole in den Statusleisten von Simple UI ein oder aus.,Activa o desactiva los íconos que se muestran en las barras de estadísticas de Simple UI.,Permet d'afficher ou de masquer les icônes des barres de statistiques de Simple UI.,Attiva o disattiva la visualizzazione delle icone nelle barre statistiche di Simple UI.,シンプル UI のステータス バーに表示されるアイコンのオン/オフを切り替えます。,Simple UI의 통계 막대에 표시되는 아이콘을 켜거나 끄는 기능을 합니다.,Włącza lub wyłącza wyświetlanie ikon na paskach statystyk interfejsu Simple UI.,Ativa ou desativa a exibição dos ícones nas barras de estatísticas da interface Simple UI.,Включает или выключает отображение значков в статистических панелях Simple UI.,Simple UI'nin istatistik çubuklarında görüntülenen simgeleri açar veya kapatır.,切换 Simple UI 状态栏中图标的显示状态。,切換 Simple UI 狀態列中圖示的顯示狀態。
rwsuiToolBeltLabel_Category,,,,,ToolBelt Label Settings,,Werkzeuggürtel-Beschriftungseinstellungen,Configuración de etiquetas de ToolBelt,Paramètres d'étiquette de la barre d'outils,Impostazioni etichetta ToolBelt,ツールベルトラベル設定,툴벨트 라벨 설정,Ustawienia etykiety paska narzędzi,Configurações de etiqueta do cinto de ferramentas,Настройки меток пояса инструментов,ToolBelt Etiket Ayarları,工具带标签设置,工具帶標籤設置
rwsuiToolBeltLabel_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiToolBeltKeys_Toggle,,,,,ToolBelt Keys,,Werkzeuggürtelschlüssel,Llaves para cinturón de herramientas,Clés de ceinture à outils,Chiavi della cintura portautensili,ツールベルトキー,툴벨트 키,Klucze do paska narzędziowego,Chaves do cinto de ferramentas,Ключи для поясного инструмента,Alet Kemeri Anahtarları,工具带钥匙,工具帶鑰匙
rwsuiToolBeltKeys_Toggle_Desc,,,,,Toggles the toolbelt keys being displayed on or off for Simple UI's toolbelt.,,Schaltet die Anzeige der Werkzeugleisten-Tasten für die Werkzeugleiste von Simple UI ein oder aus.,Activa o desactiva las teclas del cinturón de herramientas que se muestran en el cinturón de herramientas de Simple UI.,Permet d'afficher ou de masquer les touches de la barre d'outils de Simple UI.,Attiva o disattiva la visualizzazione dei tasti della barra degli strumenti per la barra degli strumenti di Simple UI.,Simple UI のツールベルトに表示されるツールベルト キーのオン/オフを切り替えます。,Simple UI의 툴벨트에서 툴벨트 키 표시 여부를 전환합니다.,Włącza lub wyłącza wyświetlanie klawiszy paska narzędzi dla paska narzędzi Simple UI.,Alterna a exibição das teclas da barra de ferramentas (toolbar) do Simple UI.,Позволяет включать или выключать отображение клавиш на панели инструментов Simple UI.,Simple UI'nin araç çubuğundaki tuşların görüntülenip görüntülenmeyeceğini değiştirir.,切换 Simple UI 工具腰带中工具键的显示状态（打开或关闭）。,切換 Simple UI 工具腰帶中工具鍵的顯示狀態（開啟或關閉）。
rwsuiToolBeltKeysBG_Toggle,,,,,ToolBelt Keys Background,,Hintergrundinformationen zu Werkzeuggürteltasten,Antecedentes de las llaves del cinturón de herramientas,Contexte des touches de la ceinture d'outils,Sfondo delle chiavi della cintura degli attrezzi,ToolBelt キーの背景,툴벨트 키 배경,Tło kluczy ToolBelt,Fundo das chaves do cinto de ferramentas,Фоновое изображение клавиш пояса инструментов,Alet Kemeri Anahtarları Arka Planı,工具带钥匙背景,工具帶鑰匙背景
rwsuiToolBeltKeysBG_Toggle_Desc,,,,,Toggles the toolbelt keys background from being displayed on or off for Simple UI's toolbelt.,,Schaltet die Anzeige des Hintergrunds der Werkzeugleistentasten für die Werkzeugleiste von Simple UI ein oder aus.,Activa o desactiva la visualización del fondo de las teclas del cinturón de herramientas en el cinturón de herramientas de Simple UI.,Permet d'afficher ou de masquer l'arrière-plan des touches de la barre d'outils de Simple UI.,Attiva o disattiva la visualizzazione dello sfondo dei tasti della barra degli strumenti per la barra degli strumenti di Simple UI.,シンプル UI のツールベルトのツールベルト キーの背景の表示をオンまたはオフに切り替えます。,Simple UI 툴벨트의 툴벨트 키 배경 표시 여부를 전환합니다.,Włącza lub wyłącza wyświetlanie tła klawiszy paska narzędzi w pasku narzędzi Simple UI.,"Alterna a exibição do fundo das teclas da barra de ferramentas, mostrando se ele está ativado ou desativado na barra de ferramentas da interface Simple UI.",Позволяет включать или выключать отображение фона клавиш на панели инструментов Simple UI.,Simple UI'nin araç çubuğundaki tuş takımı arka planının görüntülenmesini açar veya kapatır.,切换 Simple UI 工具腰带中工具键背景的显示状态（开启或关闭）。,切換 Simple UI 工具腰帶中工具鍵背景的顯示狀態（開啟或關閉）。
rwsuiMisc_Tab,,,,,Misc,,Verschiedenes,Varios,Divers,Varie,その他,기타,Różne,Diversos,Разное,Çeşitli,杂项,雜項
rwsuiMisc_Tab_Desc,,,,,Misc Settings \n\nChanging these settings only has an effect in Singleplayer or a self hosted game. If in game you will need to exit to main menu and reload into game to see changes.,,"Sonstige Einstellungen \n\nÄnderungen dieser Einstellungen wirken sich nur im Einzelspielermodus oder in selbst gehosteten Spielen aus. Im Spiel müssen Sie zum Hauptmenü zurückkehren und das Spiel neu laden, um die Änderungen zu sehen.","Ajustes varios: Cambiar estos ajustes solo afecta al modo de un jugador o a partidas alojadas por el usuario. Si estás jugando, tendrás que salir al menú principal y volver a cargar el juego para ver los cambios.","Paramètres divers : Modifier ces paramètres n'a d'effet qu'en mode solo ou dans une partie hébergée sur votre serveur. Si vous êtes en jeu, vous devrez quitter le jeu et le relancer pour que les modifications soient prises en compte.","Impostazioni varie \n\nLa modifica di queste impostazioni ha effetto solo in modalità Giocatore singolo o in una partita self-hosted. Se sei in gioco, dovrai uscire dal menu principale e ricaricare la partita per vedere le modifiche.",その他の設定 \n\nこれらの設定の変更は、シングルプレイヤーまたはセルフホストゲームでのみ有効です。ゲーム中に変更内容を確認するには、メインメニューに戻り、ゲームをリロードする必要があります。,기타 설정\n\n이 설정을 변경해도 싱글플레이어 또는 직접 호스팅한 게임에서만 효과가 있습니다. 게임 도중에 변경 사항을 적용하려면 메인 메뉴로 나갔다가 다시 게임을 실행해야 합니다.,"Ustawienia różne \n\nZmiana tych ustawień ma wpływ tylko na tryb jednego gracza lub grę hostowaną samodzielnie. W trakcie gry należy wyjść do menu głównego i ponownie wczytać grę, aby zobaczyć zmiany.","Configurações diversas \n\nAlterar essas configurações só terá efeito no modo Singleplayer ou em jogos hospedados pelo próprio jogador. Se estiver jogando, você precisará sair para o menu principal e recarregar o jogo para ver as alterações.","Разные настройки \n\nИзменение этих настроек влияет только на одиночную игру или игру, созданную вами самостоятельно. В игре вам потребуется выйти в главное меню и перезагрузить игру, чтобы увидеть изменения.",Çeşitli Ayarlar \n\nBu ayarların değiştirilmesi yalnızca tek oyunculu veya kendi sunucunuzda barındırdığınız oyunlarda geçerlidir. Oyun içindeyken değişiklikleri görmek için ana menüye çıkıp oyunu yeniden yüklemeniz gerekecektir.,其他设置\n\n更改这些设置仅在单人游戏或自建游戏中生效。如果在游戏中，您需要退出到主菜单并重新加载游戏才能看到更改。,其他設定\n\n更改這些設定僅在單人遊戲或自建遊戲中生效。如果在遊戲中，您需要退出到主選單並重新載入遊戲才能看到變更。
rwsuiSimpleUIBlockers_Category,,,,,Simple UI Blockers,,Einfache UI-Blocker,Bloqueadores de interfaz de usuario simples,Bloqueurs d'interface utilisateur simples,Semplici blocchi dell'interfaccia utente,シンプルなUIブロッカー,간단한 UI 차단기,Proste blokery interfejsu użytkownika,Bloqueadores de interface de usuário simples,Простые блокировщики пользовательского интерфейса,Basit Kullanıcı Arayüzü Engelleyicileri,简单的 UI 阻塞器,簡單的 UI 阻塞器
rwsuiSimpleUIBlockers_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiHUDBlocker_Toggle,,,,,Hud Blocker,,HUD-Blocker,Bloqueador de HUD,Bloqueur HUD,Blocco HUD,ハッドブロッカー,HUD 블로커,Blokada HUD,Bloqueador de HUD,Блокировщик интерфейса,HUD Engelleyici,HUD 屏蔽器,HUD 屏蔽器
rwsuiHUDBlocker_Toggle_Desc,,,,,Turning this on will prevent Simple UI from using it's HUD elements.,,"Wenn Sie diese Option aktivieren, wird Simple UI daran gehindert, seine HUD-Elemente zu verwenden.",Activar esta opción evitará que Simple UI utilice sus elementos HUD.,Activer cette option empêchera Simple UI d'utiliser ses éléments d'interface.,"Attivando questa opzione, Simple UI non potrà utilizzare i suoi elementi HUD.",これをオンにすると、Simple UI が HUD 要素を使用しないようになります。,이 옵션을 켜면 Simple UI에서 HUD 요소를 사용할 수 없게 됩니다.,"Włączenie tej opcji spowoduje, że Simple UI nie będzie używać swoich elementów HUD.",Ativar esta opção impedirá que o Simple UI utilize seus elementos de HUD.,Включение этой опции не позволит Simple UI использовать свои элементы интерфейса.,"Bu özelliği açmak, Simple UI'nin HUD öğelerini kullanmasını engelleyecektir.",启用此功能将阻止 Simple UI 使用它的 HUD 元素。,啟用此功能將阻止 Simple UI 使用它的 HUD 元素。
rwsuiToolBeltBlocker_Toggle,,,,,ToolBelt Blocker,,Werkzeuggürtelblocker,Bloqueador de cinturón de herramientas,Bloqueur de ceinture d'outils,Blocca cintura portautensili,ツールベルトブロッカー,툴벨트 블로커,Blokada paska narzędziowego,Bloqueador de cinto de ferramentas,Блокиратор пояса инструментов,Alet Kemeri Engelleyici,工具带阻挡器,工具帶阻擋器
rwsuiToolBeltBlocker_Toggle_Desc,,,,,Turning this on will prevent Simple UI from using it's toolbelt elements,,"Durch Aktivieren dieser Option wird verhindert, dass Simple UI seine Toolbelt-Elemente verwendet.","Al activar esta opción, se evitará que Simple UI utilice sus elementos de cinturón de herramientas.",Activer cette option empêchera Simple UI d'utiliser ses éléments de boîte à outils.,Attivando questa opzione si impedirà a Simple UI di utilizzare gli elementi della toolbelt,これをオンにすると、シンプルUIはツールベルト要素を使用しなくなります。,이 옵션을 켜면 Simple UI가 툴벨트 요소를 사용하지 못하게 됩니다.,Włączenie tej opcji uniemożliwi interfejsowi Simple UI korzystanie z elementów paska narzędzi,Ativar esta opção impedirá que o Simple UI utilize os elementos da sua barra de ferramentas.,Включение этой опции не позволит Simple UI использовать элементы панели инструментов.,"Bu özelliği açmak, Simple UI'nin araç seti öğelerini kullanmasını engelleyecektir.",启用此选项将阻止 Simple UI 使用其工具栏元素。,啟用此選項將阻止 Simple UI 使用其工具列元素。
rwsuiPopUp_Category,,,,,PopUp Settings,,Popup-Einstellungen,Configuración de ventanas emergentes,Paramètres des fenêtres contextuelles,Impostazioni popup,ポップアップ設定,팝업 설정,Ustawienia wyskakującego okienka,Configurações PopUp,Настройки всплывающего окна,Açılır Pencere Ayarları,弹出设置,彈出設定
rwsuiPopUp_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiLocationPopUp_Toggle,,,,,Location PopUp,,Standort-Popup,Ventana emergente de ubicación,Fenêtre contextuelle de localisation,Popup di posizione,位置情報ポップアップ,위치 팝업,Okno podręczne lokalizacji,Janela pop-up de localização,Всплывающее окно местоположения,Konum Açılır Penceresi,位置弹出窗口,位置彈出視窗
rwsuiLocationPopUp_Toggle_Desc,,,,,Toggles the Location Pop-Up being displayed on or off. \n\nThis is the giant Pop-Up message you get top center of screen when entering a location.,,"Schaltet die Anzeige des Standort-Pop-ups ein oder aus. \n\nDies ist die große Pop-up-Meldung, die oben in der Mitte des Bildschirms erscheint, wenn Sie einen Standort aufrufen.",Activa o desactiva la visualización de la ventana emergente de ubicación. \n\nEste es el mensaje emergente gigante que aparece en el centro superior de la pantalla cuando ingresa una ubicación.,Permet d'afficher ou de masquer la fenêtre contextuelle de localisation. \n\nIl s'agit du grand message contextuel qui apparaît en haut au centre de l'écran lorsque vous saisissez un lieu.,Attiva o disattiva la visualizzazione del pop-up sulla posizione. \n\nSi tratta del messaggio pop-up gigante che compare in alto al centro dello schermo quando si immette una posizione.,場所ポップアップの表示をオンまたはオフに切り替えます。\n\nこれは、場所を入力したときに画面の上部中央に表示される巨大なポップアップ メッセージです。,위치 팝업 표시 여부를 전환합니다. 이 팝업은 위치를 입력할 때 화면 상단 중앙에 나타나는 큰 메시지입니다.,"Włącza lub wyłącza wyświetlanie wyskakującego okienka z informacją o lokalizacji. \n\nTo duże wyskakujące okienko z informacją, które pojawia się na środku górnej części ekranu po wejściu do lokalizacji.",Ativa ou desativa a exibição da janela pop-up de localização. \n\nEsta é a mensagem pop-up gigante que aparece no centro superior da tela ao inserir um local.,"Включает или выключает отображение всплывающего окна с указанием местоположения. \n\nЭто большое всплывающее сообщение, которое появляется в верхней центральной части экрана при вводе местоположения.","Konum açılır penceresinin görüntülenmesini açar veya kapatır. \n\nBu, bir konum girdiğinizde ekranın üst orta kısmında gördüğünüz büyük açılır mesajdır.",切换位置弹出窗口的显示与否。\n\n这是您输入位置时在屏幕顶部中央看到的巨型弹出消息。,切換位置彈出視窗的顯示與否。 \n\n這是您輸入位置時在螢幕頂部中央看到的巨型彈出訊息。
rwsuiOnScreenIcons_Category,,,,,On-Screen Icon Settings,,Einstellungen für Bildschirmsymbole,Configuración de iconos en pantalla,Paramètres des icônes à l'écran,Impostazioni delle icone sullo schermo,画面上のアイコン設定,화면 아이콘 설정,Ustawienia ikon ekranowych,Configurações de ícones na tela,Настройки экранных значков,Ekrandaki Simge Ayarları,屏幕图标设置,螢幕圖示設定
rwsuiOnScreenIcons_Category_Desc,,,,,,,,,,,,,,,,,,
